instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_bin,hour_bin,cnt_bin
3132,2011-05-15,Summer,2011,May,9,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.83,0.2537,36,98,134,sejuk,pagi,rendah
3133,2011-05-15,Summer,2011,May,10,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.83,0.2239,73,153,226,sejuk,pagi,rendah
3134,2011-05-15,Summer,2011,May,11,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.6,0.5758,0.78,0.2239,120,202,322,sejuk,siang,rendah
3135,2011-05-15,Summer,2011,May,12,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.62,0.5909,0.73,0.2985,120,247,367,panas,siang,rendah
3136,2011-05-15,Summer,2011,May,13,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.62,0.5909,0.73,0.2836,195,261,456,panas,siang,rendah
3137,2011-05-15,Summer,2011,May,14,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.64,0.6061,0.73,0.194,183,254,437,panas,siang,rendah
3138,2011-05-15,Summer,2011,May,15,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.66,0.6212,0.69,0.2537,206,253,459,panas,siang,rendah
3139,2011-05-15,Summer,2011,May,16,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.64,0.6061,0.69,0.2537,158,282,440,panas,siang,rendah
3140,2011-05-15,Summer,2011,May,17,No,Monday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.56,0.5303,0.78,0.3582,137,255,392,sejuk,sore,rendah
3141,2011-05-15,Summer,2011,May,18,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.78,0.2537,60,177,237,sejuk,sore,rendah
3142,2011-05-15,Summer,2011,May,19,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.83,0.1045,78,153,231,sejuk,malam,rendah
3143,2011-05-15,Summer,2011,May,20,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.88,0.0,53,138,191,sejuk,malam,rendah
3144,2011-05-15,Summer,2011,May,21,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.88,0.0,44,107,151,sejuk,malam,rendah
3145,2011-05-15,Summer,2011,May,22,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.83,0.0,29,88,117,sejuk,malam,rendah
3146,2011-05-15,Summer,2011,May,23,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.88,0.2239,18,51,69,sejuk,malam,rendah
3147,2011-05-16,Summer,2011,May,0,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.94,0.1045,17,21,38,sejuk,subuh,rendah
3148,2011-05-16,Summer,2011,May,1,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.94,0.1343,6,8,14,sejuk,subuh,rendah
3149,2011-05-16,Summer,2011,May,2,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.5,0.4848,1.0,0.0896,4,9,13,sejuk,subuh,rendah
3150,2011-05-16,Summer,2011,May,3,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.5,0.4848,0.94,0.1642,1,3,4,sejuk,subuh,rendah
3151,2011-05-16,Summer,2011,May,4,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.5,0.4848,1.0,0.1343,1,5,6,sejuk,subuh,rendah
3152,2011-05-16,Summer,2011,May,5,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.5,0.4848,0.93,0.194,1,20,21,sejuk,subuh,rendah
3153,2011-05-16,Summer,2011,May,6,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.88,0.1642,11,93,104,sejuk,subuh,rendah
3154,2011-05-16,Summer,2011,May,7,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.83,0.2836,27,245,272,sejuk,pagi,rendah
3155,2011-05-16,Summer,2011,May,8,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.73,0.2985,28,366,394,sejuk,pagi,rendah
3156,2011-05-16,Summer,2011,May,9,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.6,0.5909,0.69,0.194,38,156,194,sejuk,pagi,rendah
3157,2011-05-16,Summer,2011,May,10,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.62,0.6061,0.65,0.0896,37,75,112,panas,pagi,rendah
3158,2011-05-16,Summer,2011,May,11,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.64,0.6212,0.57,0.0,56,129,185,panas,siang,rendah
3159,2011-05-16,Summer,2011,May,12,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.66,0.6212,0.54,0.0896,72,137,209,panas,siang,rendah
3160,2011-05-16,Summer,2011,May,13,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.68,0.6364,0.51,0.0,61,153,214,panas,siang,rendah
3161,2011-05-16,Summer,2011,May,14,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.68,0.6364,0.51,0.0,76,117,193,panas,siang,rendah
3162,2011-05-16,Summer,2011,May,15,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.72,0.6667,0.51,0.0,55,110,165,panas,siang,rendah
3163,2011-05-16,Summer,2011,May,16,No,Tuesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.6,0.5758,0.78,0.2537,45,181,226,sejuk,siang,rendah
3164,2011-05-16,Summer,2011,May,17,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.88,0.2239,47,227,274,sejuk,sore,rendah
3165,2011-05-16,Summer,2011,May,18,No,Tuesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.58,0.5455,0.83,0.194,55,398,453,sejuk,sore,rendah
3166,2011-05-16,Summer,2011,May,19,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.83,0.2537,36,272,308,sejuk,malam,rendah
3167,2011-05-16,Summer,2011,May,20,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.83,0.0,31,167,198,sejuk,malam,rendah
3168,2011-05-16,Summer,2011,May,21,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.83,0.0,28,149,177,sejuk,malam,rendah
3169,2011-05-16,Summer,2011,May,22,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.88,0.0896,22,105,127,sejuk,malam,rendah
3170,2011-05-16,Summer,2011,May,23,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.88,0.0896,18,39,57,sejuk,malam,rendah
3171,2011-05-17,Summer,2011,May,0,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.56,0.5303,0.88,0.0,13,18,31,sejuk,subuh,rendah
3172,2011-05-17,Summer,2011,May,1,No,Wednesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.56,0.5303,0.88,0.0,7,6,13,sejuk,subuh,rendah
3173,2011-05-17,Summer,2011,May,2,No,Wednesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.56,0.5303,0.88,0.0,4,4,8,sejuk,subuh,rendah
3174,2011-05-17,Summer,2011,May,3,No,Wednesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.54,0.5152,0.94,0.2537,1,3,4,sejuk,subuh,rendah
3175,2011-05-17,Summer,2011,May,4,No,Wednesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.54,0.5152,0.94,0.2537,2,2,4,sejuk,subuh,rendah
3176,2011-05-17,Summer,2011,May,5,No,Wednesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.52,0.5,0.94,0.2537,0,22,22,sejuk,subuh,rendah
3177,2011-05-17,Summer,2011,May,6,No,Wednesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.52,0.5,0.94,0.2537,0,49,49,sejuk,subuh,rendah
3178,2011-05-17,Summer,2011,May,7,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.52,0.5,0.94,0.2537,13,138,151,sejuk,pagi,rendah
3179,2011-05-17,Summer,2011,May,8,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.52,0.5,0.94,0.2985,22,325,347,sejuk,pagi,rendah
3180,2011-05-17,Summer,2011,May,9,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.54,0.5152,0.88,0.2537,17,190,207,sejuk,pagi,rendah
3181,2011-05-17,Summer,2011,May,10,No,Wednesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.54,0.5152,0.88,0.2537,31,73,104,sejuk,pagi,rendah
3182,2011-05-17,Summer,2011,May,11,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.56,0.5303,0.83,0.4179,26,104,130,sejuk,siang,rendah
3183,2011-05-17,Summer,2011,May,12,No,Wednesday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.56,0.5303,0.83,0.4179,38,115,153,sejuk,siang,rendah
3184,2011-05-17,Summer,2011,May,13,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.56,0.5303,0.88,0.3284,31,141,172,sejuk,siang,rendah
3185,2011-05-17,Summer,2011,May,14,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.62,0.5909,0.73,0.4627,61,123,184,panas,siang,rendah
3186,2011-05-17,Summer,2011,May,15,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.62,0.6061,0.69,0.4478,79,131,210,panas,siang,rendah
3187,2011-05-17,Summer,2011,May,16,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.62,0.6061,0.61,0.3284,73,217,290,panas,siang,rendah
3188,2011-05-17,Summer,2011,May,17,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.62,0.6061,0.65,0.4179,83,521,604,panas,sore,rendah
3189,2011-05-17,Summer,2011,May,18,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.6,0.5909,0.69,0.2985,54,426,480,sejuk,sore,rendah
3190,2011-05-17,Summer,2011,May,19,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.6,0.5909,0.69,0.2537,51,298,349,sejuk,malam,rendah
3191,2011-05-17,Summer,2011,May,20,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.83,0.4179,30,253,283,sejuk,malam,rendah
3192,2011-05-17,Summer,2011,May,21,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.88,0.2537,23,151,174,sejuk,malam,rendah
3193,2011-05-17,Summer,2011,May,22,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.54,0.5152,0.88,0.2836,12,86,98,sejuk,malam,rendah
3194,2011-05-17,Summer,2011,May,23,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.54,0.5152,0.88,0.2537,7,49,56,sejuk,malam,rendah
3195,2011-05-18,Summer,2011,May,0,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.54,0.5152,0.88,0.2239,8,15,23,sejuk,subuh,rendah
3196,2011-05-18,Summer,2011,May,1,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.54,0.5152,0.88,0.2537,3,9,12,sejuk,subuh,rendah
3197,2011-05-18,Summer,2011,May,2,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.52,0.5,0.94,0.2239,1,5,6,sejuk,subuh,rendah
3198,2011-05-18,Summer,2011,May,3,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.52,0.5,0.94,0.2985,6,3,9,sejuk,subuh,rendah
3199,2011-05-18,Summer,2011,May,4,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.52,0.5,0.94,0.2985,1,2,3,sejuk,subuh,rendah
3200,2011-05-18,Summer,2011,May,5,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,1.0,0.2239,0,9,9,sejuk,subuh,rendah
3201,2011-05-18,Summer,2011,May,6,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,1.0,0.1343,2,99,101,sejuk,subuh,rendah
3202,2011-05-18,Summer,2011,May,7,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.88,0.194,14,260,274,sejuk,pagi,rendah
3203,2011-05-18,Summer,2011,May,8,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.88,0.2836,25,428,453,sejuk,pagi,rendah
3204,2011-05-18,Summer,2011,May,9,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.56,0.5303,0.83,0.2537,26,176,202,sejuk,pagi,rendah
3205,2011-05-18,Summer,2011,May,10,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.54,0.5152,0.88,0.2836,33,73,106,sejuk,pagi,rendah
3206,2011-05-18,Summer,2011,May,11,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.54,0.5152,0.94,0.0896,6,17,23,sejuk,siang,rendah
3207,2011-05-18,Summer,2011,May,12,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.94,0.2985,12,42,54,sejuk,siang,rendah
3208,2011-05-18,Summer,2011,May,13,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.56,0.5303,0.83,0.3284,30,92,122,sejuk,siang,rendah
3209,2011-05-18,Summer,2011,May,14,No,Thursday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.58,0.5455,0.78,0.2836,44,94,138,sejuk,siang,rendah
3210,2011-05-18,Summer,2011,May,15,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.6,0.5758,0.78,0.2537,34,133,167,sejuk,siang,rendah
3211,2011-05-18,Summer,2011,May,16,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.6,0.5909,0.73,0.194,53,241,294,sejuk,siang,rendah
3212,2011-05-18,Summer,2011,May,17,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.6,0.5909,0.69,0.1343,78,487,565,sejuk,sore,rendah
3213,2011-05-18,Summer,2011,May,18,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.6,0.5909,0.73,0.2239,58,431,489,sejuk,sore,rendah
3214,2011-05-18,Summer,2011,May,19,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.56,0.5303,0.88,0.1343,43,288,331,sejuk,malam,rendah
3215,2011-05-18,Summer,2011,May,20,No,Thursday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.56,0.5303,0.88,0.1343,24,189,213,sejuk,malam,rendah
3216,2011-05-18,Summer,2011,May,21,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.88,0.0,11,74,85,sejuk,malam,rendah
3217,2011-05-18,Summer,2011,May,22,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.83,0.0,14,103,117,sejuk,malam,rendah
3218,2011-05-18,Summer,2011,May,23,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.94,0.0896,10,49,59,sejuk,malam,rendah
3219,2011-05-19,Summer,2011,May,0,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.94,0.1045,6,23,29,sejuk,subuh,rendah
3220,2011-05-19,Summer,2011,May,1,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.5,0.4848,0.94,0.0,2,4,6,sejuk,subuh,rendah
3221,2011-05-19,Summer,2011,May,2,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.5,0.4848,0.94,0.0,3,12,15,sejuk,subuh,rendah
3222,2011-05-19,Summer,2011,May,3,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.48,0.4697,1.0,0.0,1,3,4,sejuk,subuh,rendah
3223,2011-05-19,Summer,2011,May,4,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.48,0.4697,0.94,0.0,2,3,5,sejuk,subuh,rendah
3224,2011-05-19,Summer,2011,May,5,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.48,0.4697,0.94,0.0,2,24,26,sejuk,subuh,rendah
3225,2011-05-19,Summer,2011,May,6,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.5,0.4848,0.94,0.0,17,86,103,sejuk,subuh,rendah
3226,2011-05-19,Summer,2011,May,7,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.5,0.4848,1.0,0.0,18,239,257,sejuk,pagi,rendah
3227,2011-05-19,Summer,2011,May,8,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.52,0.5,0.88,0.0,34,453,487,sejuk,pagi,rendah
3228,2011-05-19,Summer,2011,May,9,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.54,0.5152,0.88,0.0896,40,176,216,sejuk,pagi,rendah
3229,2011-05-19,Summer,2011,May,10,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.54,0.5152,0.83,0.0,35,95,130,sejuk,pagi,rendah
3230,2011-05-19,Summer,2011,May,11,No,Friday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.54,0.5152,0.88,0.1642,53,111,164,sejuk,siang,rendah
3231,2011-05-19,Summer,2011,May,12,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.58,0.5455,0.78,0.1045,38,130,168,sejuk,siang,rendah
3232,2011-05-19,Summer,2011,May,13,No,Friday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.58,0.5455,0.64,0.2537,44,139,183,sejuk,siang,rendah
3233,2011-05-19,Summer,2011,May,14,No,Friday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.54,0.5152,0.73,0.194,43,137,180,sejuk,siang,rendah
3234,2011-05-19,Summer,2011,May,15,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.78,0.1642,63,125,188,sejuk,siang,rendah
3235,2011-05-19,Summer,2011,May,16,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.64,0.194,55,247,302,sejuk,siang,rendah
3236,2011-05-19,Summer,2011,May,17,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.78,0.1642,60,487,547,sejuk,sore,rendah
3237,2011-05-19,Summer,2011,May,18,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.6,0.6212,0.55,0.1642,59,454,513,sejuk,sore,rendah
3238,2011-05-19,Summer,2011,May,19,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.6,0.1343,65,345,410,sejuk,malam,rendah
3239,2011-05-19,Summer,2011,May,20,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.77,0.2836,46,236,282,sejuk,malam,rendah
3240,2011-05-19,Summer,2011,May,21,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.77,0.2836,29,180,209,sejuk,malam,rendah
3241,2011-05-19,Summer,2011,May,22,No,Friday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.5,0.4848,0.82,0.2985,11,68,79,sejuk,malam,rendah
3242,2011-05-19,Summer,2011,May,23,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.48,0.4697,0.94,0.0,9,63,72,sejuk,malam,rendah
3243,2011-05-20,Summer,2011,May,0,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.46,0.4545,0.94,0.0896,15,33,48,sejuk,subuh,rendah
3244,2011-05-20,Summer,2011,May,1,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.46,0.4545,1.0,0.0,8,17,25,sejuk,subuh,rendah
3245,2011-05-20,Summer,2011,May,2,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.44,0.4394,1.0,0.0896,4,4,8,sejuk,subuh,rendah
3246,2011-05-20,Summer,2011,May,3,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.44,0.4394,1.0,0.0,1,4,5,sejuk,subuh,rendah
3247,2011-05-20,Summer,2011,May,4,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.44,0.4394,0.94,0.0896,1,4,5,sejuk,subuh,rendah
3248,2011-05-20,Summer,2011,May,5,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.44,0.4394,0.94,0.1045,0,28,28,sejuk,subuh,rendah
3249,2011-05-20,Summer,2011,May,6,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.46,0.4545,0.88,0.1045,15,102,117,sejuk,subuh,rendah
3250,2011-05-20,Summer,2011,May,7,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.5,0.4848,0.77,0.1642,30,289,319,sejuk,pagi,rendah
3251,2011-05-20,Summer,2011,May,8,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.68,0.0,41,476,517,sejuk,pagi,rendah
3252,2011-05-20,Summer,2011,May,9,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.68,0.2239,35,199,234,sejuk,pagi,rendah
3253,2011-05-20,Summer,2011,May,10,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.64,0.194,44,104,148,sejuk,pagi,rendah
3254,2011-05-20,Summer,2011,May,11,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.58,0.5455,0.6,0.194,63,133,196,sejuk,siang,rendah
3255,2011-05-20,Summer,2011,May,12,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6,0.6212,0.56,0.2537,69,186,255,sejuk,siang,rendah
3256,2011-05-20,Summer,2011,May,13,No,Saturday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.6,0.6212,0.56,0.2836,60,172,232,sejuk,siang,rendah
3257,2011-05-20,Summer,2011,May,14,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.62,0.6212,0.53,0.2239,66,131,197,panas,siang,rendah
3258,2011-05-20,Summer,2011,May,15,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6,0.6212,0.56,0.194,74,168,242,sejuk,siang,rendah
3259,2011-05-20,Summer,2011,May,16,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6,0.6212,0.53,0.1642,61,269,330,sejuk,siang,rendah
3260,2011-05-20,Summer,2011,May,17,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.62,0.6212,0.53,0.0,71,483,554,panas,sore,rendah
3261,2011-05-20,Summer,2011,May,18,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.6,0.6212,0.56,0.1642,79,394,473,sejuk,sore,rendah
3262,2011-05-20,Summer,2011,May,19,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.64,0.0896,49,253,302,sejuk,malam,rendah
3263,2011-05-20,Summer,2011,May,20,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.58,0.5455,0.64,0.1045,40,180,220,sejuk,malam,rendah
3264,2011-05-20,Summer,2011,May,21,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.64,0.1045,40,155,195,sejuk,malam,rendah
3265,2011-05-20,Summer,2011,May,22,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.73,0.0,28,124,152,sejuk,malam,rendah
3266,2011-05-20,Summer,2011,May,23,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.72,0.1642,15,100,115,sejuk,malam,rendah
3267,2011-05-21,Summer,2011,May,0,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.77,0.1045,20,78,98,sejuk,subuh,rendah
3268,2011-05-21,Summer,2011,May,1,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.72,0.0,8,64,72,sejuk,subuh,rendah
3269,2011-05-21,Summer,2011,May,2,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.52,0.5,0.72,0.1045,5,35,40,sejuk,subuh,rendah
3270,2011-05-21,Summer,2011,May,3,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.48,0.4697,0.82,0.1045,7,12,19,sejuk,subuh,rendah
3271,2011-05-21,Summer,2011,May,4,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.46,0.4545,0.88,0.1343,1,6,7,sejuk,subuh,rendah
3272,2011-05-21,Summer,2011,May,5,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.46,0.4545,0.88,0.1045,1,4,5,sejuk,subuh,rendah
3273,2011-05-21,Summer,2011,May,6,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.5,0.4848,0.82,0.1343,6,22,28,sejuk,subuh,rendah
3274,2011-05-21,Summer,2011,May,7,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.54,0.5152,0.73,0.1343,10,33,43,sejuk,pagi,rendah
3275,2011-05-21,Summer,2011,May,8,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.56,0.5303,0.68,0.2836,29,97,126,sejuk,pagi,rendah
3276,2011-05-21,Summer,2011,May,9,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.6,0.6061,0.64,0.2239,60,165,225,sejuk,pagi,rendah
3277,2011-05-21,Summer,2011,May,10,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.62,0.6061,0.61,0.1045,122,201,323,panas,pagi,rendah
3278,2011-05-21,Summer,2011,May,11,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.64,0.6212,0.53,0.1343,173,245,418,panas,siang,rendah
3279,2011-05-21,Summer,2011,May,12,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.66,0.6212,0.5,0.0,222,271,493,panas,siang,rendah
3280,2011-05-21,Summer,2011,May,13,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.7,0.6364,0.45,0.0,191,271,462,panas,siang,rendah
3281,2011-05-21,Summer,2011,May,14,No,Sunday,No,"Clear, Few clouds, Partly cloudy",0.72,0.6515,0.42,0.0,187,269,456,panas,siang,rendah
